colrow,treatment
01A,control
01B,control
01C,control
01D,control
01E,control
01F,control
01G,control
01H,control
02A,control
02B,control
02C,control
02D,control
02E,control
02F,control
02G,control
02H,control
03A,control
03B,control
03C,control
03D,control
03E,control
03F,control
03G,control
03H,control
04A,matrigel5
04B,matrigel5
04C,matrigel5
04D,matrigel5
04E,matrigel5
04F,matrigel5
04G,matrigel5
04H,matrigel5
05A,matrigel5
05B,matrigel5
05C,matrigel5
05D,matrigel5
05E,matrigel5
05F,matrigel5
05G,matrigel5
05H,matrigel5
06A,matrigel5
06B,matrigel5
06C,matrigel5
06D,matrigel5
06E,matrigel5
06F,matrigel5
06G,matrigel5
06H,matrigel5
07A,pre2i
07B,pre2i
07C,pre2i
07D,pre2i
07E,pre2i
07F,pre2i
07G,pre2i
07H,pre2i
08A,pre2i
08B,pre2i
08C,pre2i
08D,pre2i
08E,pre2i
08F,pre2i
08G,pre2i
08H,pre2i
09A,pre2i
09B,pre2i
09C,pre2i
09D,pre2i
09E,pre2i
09F,pre2i
09G,pre2i
09H,pre2i
10A,pre2i_cleaned
10B,pre2i_cleaned
10C,pre2i_cleaned
10D,pre2i_cleaned
10E,pre2i_cleaned
10F,pre2i_cleaned
10G,pre2i_cleaned
10H,pre2i_cleaned
11A,pre2i_cleaned
11B,pre2i_cleaned
11C,pre2i_cleaned
11D,pre2i_cleaned
11E,pre2i_cleaned
11F,pre2i_cleaned
11G,pre2i_cleaned
11H,pre2i_cleaned
12A,pre2i_cleaned
12B,pre2i_cleaned
12C,pre2i_cleaned
12D,pre2i_cleaned
12E,pre2i_cleaned
12F,pre2i_cleaned
12G,pre2i_cleaned
12H,pre2i_cleaned
