Count_gastruloid,FileName_raw,ImageNumber,Metadata_FileLocation,Metadata_colrow,Metadata_treatment,PathName_raw
1.0,01A.tif,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01A.tif,01A,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01B.tif,2,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01B.tif,01B,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01C.tif,3,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01C.tif,01C,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01D.tif,4,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01D.tif,01D,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01E.tif,5,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01E.tif,01E,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01F.tif,6,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01F.tif,01F,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01G.tif,7,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01G.tif,01G,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,01H.tif,8,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01H.tif,01H,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02A.tif,9,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02A.tif,02A,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02B.tif,10,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02B.tif,02B,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02C.tif,11,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02C.tif,02C,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02D.tif,12,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02D.tif,02D,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02E.tif,13,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02E.tif,02E,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02F.tif,14,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02F.tif,02F,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02G.tif,15,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02G.tif,02G,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,02H.tif,16,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02H.tif,02H,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03A.tif,17,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03A.tif,03A,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03B.tif,18,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03B.tif,03B,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03C.tif,19,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03C.tif,03C,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03D.tif,20,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03D.tif,03D,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03E.tif,21,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03E.tif,03E,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03F.tif,22,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03F.tif,03F,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,03G.tif,23,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/03G.tif,03G,control,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
