ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_colrow,Metadata_treatment,FileName_raw,PathName_raw,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensity_gfp_bgCorr,Intensity_MeanIntensity_gfp_bgCorr,Intensity_StdIntensity_gfp_bgCorr,Number_Object_Number,RadialDistribution_RadialCV_gfp_bgCorr_1of4,RadialDistribution_RadialCV_gfp_bgCorr_2of4,RadialDistribution_RadialCV_gfp_bgCorr_3of4,RadialDistribution_RadialCV_gfp_bgCorr_4of4
1,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01A.tif,0,0,01A,control,01A.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,11866,178.6178156076184,148.39836507668971,1.6149543225171505,0.6757061904110032,122.91566392379549,1,0.6924603174603174,0.6192125597963345,147.47544761063546,162.077142126828,52.81098370604357,17.793192056254647,15.297058540778355,111.0,108.71462929221107,1.1788199940885011,490.7239174480011,0.9480664749121125,276.64832720160484,0.023314371077162048,0.07231817715853855,1,2.3020203605225644,1.6706171739192992,1.784790743450385,2.4965027827278643
2,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01B.tif,0,0,01B,control,01B.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,14854,162.46014541537633,138.33694627709707,1.6512905926664445,0.7443925319539421,137.52345326342015,1,0.6635693544784453,0.6055869296664714,172.1239390449608,189.66285877841239,55.02726596879042,19.134129671415998,16.64331697709324,119.81755361317536,114.93443225722446,-1.4537687350100488,555.1858582251266,0.9222077357670578,194.57439348101616,0.013099124375994087,0.06008054868491981,1,1.690659185549744,1.7504813876314542,2.5725800786614856,2.4795332298985833
3,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01C.tif,0,0,01C,control,01C.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,13747,160.73390557939913,147.0098930675784,1.631225202152171,0.5688459434391777,132.29975064781596,1,0.6317555147058823,0.6130361391429224,149.06228889722883,171.30382365843442,58.008620049092706,19.760772317532815,17.0,123.02943664781691,122.59539958363702,-1.561492544556251,530.842712474619,0.9455258270857693,455.27446350455284,0.03311809583942335,0.081206223803748,1,0.4393577890600759,0.884751168857625,1.1875785894409976,2.5836418720570786
4,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01D.tif,0,0,01D,control,01D.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,14494,162.62984683317234,134.05616117013938,2.818234656938581,0.8135391196384916,135.8467296676348,1,0.5241952983725136,0.3548320568473491,183.5808860343891,189.84203960134857,50.24937810560445,17.778892901407037,15.811388300841896,111.18418005045108,106.75415587781549,-0.8730839727557502,716.4528855298854,0.8798106106592206,69.64699786901474,0.0048052296032161405,0.015146030113003394,1,0.0,0.0,1.7333126222022979,1.3595244931753165
5,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01E.tif,0,0,01E,control,01E.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,17332,161.0181744749596,131.03404108008309,1.4630820476819673,0.7442295827902115,148.55230657700957,1,0.6737414965986395,0.6834886680376874,185.3328138802313,190.8219064992277,57.0701322935211,21.21621700277768,19.1049731745428,129.1630245492842,123.78821472228735,-0.6325709458087418,564.4995667241114,0.9419565217391305,54.52120551466942,0.003145696140934077,0.014221488688100676,1,0.0,0.0,2.6457513110645907,2.6457513110645907
6,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01F.tif,0,0,01F,control,01F.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,12238,166.5304788364112,107.69839843111619,1.335566247467499,0.8176181882549056,124.82750317325474,1,0.7082175925925925,0.7487460857117348,166.77202366542363,168.6475615003075,50.0,18.08552147319598,16.15549442140351,101.4746746190452,96.02079367895183,0.3962505012214045,453.2031021678297,0.9724274930472785,0.935239851474762,7.642097168448783e-05,0.0010982224724909568,1,2.6457513110645907,1.8610079161172561,0.0,1.887399193768425
7,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01G.tif,0,0,01G,control,01G.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,15785,166.4619575546405,106.31878365536902,1.697823697026358,0.7351854080405746,141.76771922283487,1,0.6789247311827957,0.5889893053981066,173.2033740741757,185.23498589629335,59.481089431852205,21.191701970600725,18.973665961010276,120.09775980472058,117.40869138192066,0.7819457892889621,580.3279938488577,0.9481049912907682,108.15638756752014,0.006851845902281922,0.020506926821615826,1,0.0,2.141803798705669,1.8802825541436419,2.2216289835484493
8,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/01H.tif,0,0,01H,control,01H.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,14861,149.73999057936882,111.4342238072808,1.5496537157725314,0.761377437554602,137.55585365337694,1,0.6179980870794693,0.6453054574850494,174.05530549193517,181.24017214734707,54.62600113499065,18.878119655439765,16.492422502470642,113.79169100588814,112.84159931528943,-0.606130315211949,537.9554108468271,0.9368932038834952,123.86470320820808,0.008334883467344598,0.038667600332166416,1,2.6340811706623724,2.349467588140834,2.410042447306295,2.6024476452448866
9,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02A.tif,0,0,02A,control,02A.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,14630,154.52706766917294,151.2419002050581,1.5418726502227715,0.6591221752635849,136.48257961906873,1,0.7177902070454323,0.648561993661097,161.73996081128539,161.8177987738061,47.43416490252569,18.233460767062052,16.64331697709324,123.29348412676993,121.63425303600245,0.3990340498979607,532.4163056034262,0.9191430545957153,82.06881588697433,0.005609625146067965,0.02031378554770877,1,0.0,0.0,2.373465645856988,2.467796340361052
10,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/02B.tif,0,0,02B,control,02B.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,16769,154.7756574631761,144.255888842507,1.4074674496377009,0.7248314805119781,146.11965619198514,1,0.6852321019941158,0.710496004903994,179.09220488736005,187.8643127366132,61.465437442517235,21.310601435392275,18.867962264113206,133.97854148487676,123.38131421795069,0.7721786386752632,544.6000717874997,0.93171463495944,130.30032965540886,0.0077703100754612,0.02799944215083274,1,2.6457513110645907,2.0342311392552728,1.993849312404698,1.8476246875936189
